# ID_SITE,ID_ENTITY,entity_name,latitude,longitude,elevation,depositional_context,measurement_method,TYPE,source,core_location,last_updated,ID_UNIT,REGION
1853,2308,Cuddie Springs core,-30.37,147.31,127,lake sediment,Pollen slide,pollen concentration,Global Charcoal Database Version 4,central core,12/05/2021,126,AUST
1857,2312,Fred South Swamp core,-38.13,141.78,27,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,central core,12/05/2021,316,AUST
1858,2313,Gallaghers Swamp core,-34.4903,150.723,535,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,12/05/2021,123,AUST
1863,2318,Ingar Swamp core,-33.76,150.45,584,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,central core,12/05/2021,56,AUST
1864,2319,Kings Tableland Swamp core,-33.73,150.48,780,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,central core,12/05/2021,56,AUST
1883,2340,Lake Euramoo core,-17.15,145.62,718,lake sediment,Sieved,influx,Global Charcoal Database Version 4,central core,12/05/2021,10,AUST
1885,2342,Lake Frome core,-30.68,139.78,40,lake sediment,Pollen slide,concentration,Global Charcoal Database Version 4,central core,12/05/2021,152,AUST
1886,2343,Lake George core Gemco 210B,-35.06,149.41,673,lake sediment,Pollen slide,influx,Global Charcoal Database Version 4,central core,12/05/2021,118,AUST
1891,2348,Lake Selina core,-41.88,145.6,516,lake sediment,Pollen slide,pollen concentration,Global Charcoal Database Version 4,central core,12/05/2021,46,AUST
1897,2354,Newnes Swamp core,-33.3825,150.2222,1060,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,central core,12/05/2021,56,AUST
1898,2355,Northwest Crater Tower Hill core,-38.31,142.36,20,lake sediment,Sieved,concentration,Global Charcoal Database Version 4,central core,12/05/2021,11,AUST
1899,2356,Notts Swamp core,-33.80984,150.4077,682,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,central core,12/05/2021,56,AUST
1908,2365,Saint Louis Lac core SL1991,-22.23,166.55,3,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,marginal core,12/05/2021,123,AUST
1910,2367,Storm Creek core,-37.44417,145.8006,1177,bog sediment,Pollen slide,pollen concentration,Global Charcoal Database Version 4,central core,12/05/2021,23,AUST
1912,2370,Tom Burns Missen Core,-37.38556,145.8181,1075,bog sediment,Pollen slide,pollen concentration,Global Charcoal Database Version 4,central core,12/05/2021,23,AUST
1917,2375,Wyelangta core,-38.64722,143.4614,450,fluvial/alluvial sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-888888,12/05/2021,108,AUST
167,216,Xindi core,67.111667,152.491667,240,lake sediment,Sieved,influx,IMPD,central core,07/05/2021,10,BOAS
445,530,Tel 2001-02,51.529167,87.714722,1900,lake sediment,Pollen slide,pollen concentration,Global Charcoal Database Version 4,central core,19/05/2021,23,BOAS
483,569,Bolshoe bog core,51.46,104.5,450,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,central core,07/05/2021,156,BOAS
484,570,Duliha bog core,51.51,105,510,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,156,BOAS
486,572,Duguldzeiri River bog core,54.45,109.53,529,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,156,BOAS
1126,1336,Batbold Nuur Core,51.3476,98.87493,2150,lake sediment,Sieved,concentration,IMPD,central core,07/05/2021,113,BOAS
1144,1353,Ganbold Nuur Core,51.3346,98.87553333,2102,lake sediment,Sieved,concentration,IMPD,marginal core,07/05/2021,113,BOAS
850,1366,Lac Christelle Core,49.73214,-84.25453,291,lake sediment,Sieved,influx,Global Charcoal Database Version 4,central core,07/05/2021,149,BOAS
439,1376,Lake Kirjavalampi core,61.7333,30.7667,5,lake sediment,Pollen slide,concentration,Global Charcoal Database Version 3,central core,19/05/2021,130,BOAS
1171,1392,Mustei Nuur Core,51.23923,99.00756,2353,lake sediment,Sieved,concentration,IMPD,marginal core,07/05/2021,113,BOAS
1183,1401,Sanjin Nuur Core,51.23183,99.02328,2250,lake sediment,Sieved,concentration,IMPD,central core,07/05/2021,113,BOAS
1190,1410,Tsogtoo Nuur Core,51.34563,98.89736,2063,lake sediment,Sieved,concentration,IMPD,central core,07/05/2021,113,BOAS
1157,1433,Larix Hollow core,61.8459167,37.7565,155,small hollow,Pollen slide,concentration,author,central core,13/03/2020,19,BOAS
1204,1440,Mosquito Hollow core,61.8518667,37.7702833,155,small hollow,Pollen slide,concentration,author,central core,13/03/2020,19,BOAS
1172,1444,Olga Hollow core,61.2016,37.5905,200,small hollow,Pollen slide,concentration,author,central core,13/03/2020,19,BOAS
1251,1579,Pine hollow (RUmic),61.870278,37.993611,155,small hollow,Pollen slide,concentration,author,central core,28/07/2021,3,BOAS
1251,1580,Pine hollow (RUmac),61.870278,37.993611,155,small hollow,Sieved,raw count,author,central core,28/07/2021,134,BOAS
1254,1584,Polttiais hollow (RUmic),62.275833,36.750833,140,small hollow,Pollen slide,concentration,author,central core,28/07/2021,3,BOAS
1254,1585,Polttiais hollow (RUmac),62.275833,36.750833,140,small hollow,Sieved,raw count,author,central core,28/07/2021,134,BOAS
1123,1586,Akkol Lake core,50.25,89.625,2204,lake sediment,Pollen slide,concentration,author,marginal core,08/04/2020,159,BOAS
1146,1594,Grusha Lake core,50.3833,89.4167,2413,lake sediment,Pollen slide,concentration,author,marginal core,08/04/2020,159,BOAS
1271,1632,Krugloe Bog core,56.8956,84.5761,100,bog sediment,Pollen slide,concentration,author,central core,17/04/2020,159,BOAS
1273,1634,Manzherok Lake core,51.8208,85.8097,423,lake sediment,Pollen slide,concentration,author,central core,17/04/2020,159,BOAS
1326,1710,Plotnikovo Mire core,56.83552,83.284014,120,bog sediment,Sieved,concentration,author,marginal core,10/02/2021,204,BOAS
1330,1714,Lake Kharinei core 1,67.37,62.75,108,lake sediment,Pollen slide,concentration,author,central core,10/02/2021,117,BOAS
1334,1719,Yak2A,61.6961944,55.5743333,140,bog sediment,Charcoal particles identified by imaging software,influx,author,central core,10/02/2021,14,BOAS
1335,1721,Yak3A,61.7314306,55.4943334,131,bog sediment,Charcoal particles identified by imaging software,influx,author,central core,10/02/2021,14,BOAS
1580,2009,Tuqiang section,52.94,122.86,468,bog sediment,Pollen slide,concentration,author,-999999,04/03/2021,123,BOAS
1635,2074,Mukhrino Mire core,60.8889,68.7026,35,bog sediment,Pollen slide,concentration,author,central core,18/03/2021,294,BOAS
1674,2119,Uzunkol Lake core,50.4833,87.1083,1985,lake sediment,Pollen slide,concentration,author,central core,25/03/2021,159,BOAS
1993,2467,Sugun Lake core,62.08,129.48,198,lake sediment,Sieved,concentration,author,central core,21/07/2021,58,BOAS
1994,2468,CHK,62,130.06,129,lake sediment,Sieved,concentration,author,central core,21/07/2021,303,BOAS
220,271,Northwest Lake core,52.5,-92.5,331,lake sediment,Sieved,concentration,Global Charcoal Database Version 4,central core,07/05/2021,152,BONA_E
246,302,Sky Lake core_area,56.483601,-94.787937,145,lake sediment,Sieved,concentration,Global Charcoal Database Version 4,central core,07/05/2021,10,BONA_E
266,324,Lac Diana core,60.98,-69.95,114,lake sediment,Pollen slide,influx,Global Charcoal Database Version 4,-777777,06/03/2020,149,BONA_E
379,456,Two Hill Lake  core,55.98,-97.28,200,lake sediment,Sieved,concentration,Global Charcoal Database Version 4,central core,07/05/2021,152,BONA_E
380,457,OK Lake  core,54.8,-95.25,108,lake sediment,Sieved,concentration,Global Charcoal Database Version 4,central core,07/05/2021,152,BONA_E
389,467,LG4-06 core,54.075,-72.9419,365,lake sediment,Pollen slide,influx,Global Charcoal Database Version 4,-999999,07/05/2021,149,BONA_E
612,704,Amont core,53.73,-74.38,335,bog sediment,Sieved,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,29,BONA_E
613,705,Aval core,53.41,-73.86,335,bog sediment,Sieved,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,29,BONA_E
1120,1332,Air-1,53.6535,-77.729,175,bog sediment,Sieved,concentration,author,central core,13/03/2020,180,BONA_E
1121,1333,Air-2,53.6536,-77.7263,175,bog sediment,Sieved,concentration,author,central core,13/03/2020,180,BONA_E
1155,1364,LLC-L1,52.292611,-75.8305,248,bog sediment,Sieved,concentration,author,marginal core,13/03/2020,179,BONA_E
856,1368,"Lac du Loup, Quebec core",53.05503,-77.40053,206,lake sediment,Sieved,influx,Global Charcoal Database Version 4,central core,07/05/2021,149,BONA_E
853,1369,Lac Garot Core,51.09964,-77.55358,248,lake sediment,Sieved,influx,Global Charcoal Database Version 4,central core,07/05/2021,149,BONA_E
854,1370,Lac Huard Core,50.16414,-86.8265,343,lake sediment,Sieved,influx,Global Charcoal Database Version 4,central core,07/05/2021,149,BONA_E
857,1371,Lac Marie-Eve Core,52.06169,-75.51667,296,lake sediment,Sieved,influx,Global Charcoal Database Version 4,-777777,13/03/2020,149,BONA_E
858,1372,Lac Nano Core,53.02375,-77.36425,206,lake sediment,Sieved,influx,Global Charcoal Database Version 4,-777777,13/03/2020,149,BONA_E
860,1373,Lac Schon Core,50.59492,-77.56836,291,lake sediment,Sieved,influx,Global Charcoal Database Version 4,-777777,13/03/2020,149,BONA_E
863,1374,Lac Trefle Core,51.85014,-76.04514,270,lake sediment,Sieved,influx,Global Charcoal Database Version 4,-777777,13/03/2020,149,BONA_E
1201,1387,M-C2,52.7248,-72.2128,474,bog sediment,Sieved,concentration,author,central core,13/03/2020,34,BONA_E
1169,1389,Morts core,50.2633,-63.6683,14,bog sediment,Sieved,concentration,author,central core,13/03/2020,180,BONA_E
1170,1390,MOS-L1,51.985694,-75.38544,300,bog sediment,Sieved,concentration,author,marginal core,13/03/2020,179,BONA_E
1173,1393,Ours-1,54.04978,-72.45406,458,bog sediment,Sieved,concentration,author,central core,13/03/2020,182,BONA_E
1176,1396,Plaine core,50.275,-63.5383,34,bog sediment,Sieved,concentration,author,central core,13/03/2020,180,BONA_E
1178,1398,Rad,53.7244,-77.7031,174,bog sediment,Sieved,concentration,author,marginal core,13/03/2020,180,BONA_E
1182,1399,Romaine core,50.2947,-63.7157,24,bog sediment,Sieved,concentration,author,central core,13/03/2020,180,BONA_E
1185,1404,STE-L2,52.045388,-75.158944,308,bog sediment,Sieved,concentration,author,marginal core,13/03/2020,179,BONA_E
1193,1411,Unit Lake Core,59.404,-97.493,249,lake sediment,Sieved,concentration,NOAA,central core,07/05/2021,152,BONA_E
1203,1417,Auassat core,51.8136,-63.6919,466,bog sediment,Sieved,concentration,author,central core,13/03/2020,11,BONA_E
1132,1421,C-C1,52.647,-72.1926,461,bog sediment,Sieved,concentration,author,central core,13/03/2020,11,BONA_E
1167,1439,Mista core,50.8059,-63.3432,372,bog sediment,Sieved,concentration,author,central core,13/03/2020,11,BONA_E
1143,1460,BEN-2,50.11327,-68.80876,392,bog sediment,Sieved,concentration,author,marginal core,13/03/2020,180,BONA_E
1205,1488,Abeille-5,54.115296,-72.500447,441,bog sediment,Sieved,concentration,author,central core,27/03/2020,182,BONA_E
1207,1490,Aurelie core,50.4185,-74.23544444,428,lake sediment,Charcoal particles identified in thin slides (soil micromorphology),influx,author,central core,07/05/2021,13,BONA_E
1208,1491,Ayla core,52.89425,-67.04092,582,lake sediment,Charcoal particles identified in thin slides (soil micromorphology),influx,author,central core,07/05/2021,14,BONA_E
