"ID_SITE","site_name","latitude","longitude","elevation","site_type","water_depth","basin_size_class","catch_size_class","flow_type","basin_size_km2","catch_size_km2"
890,"Fuente de la Leche",40.3468,-5.0569,1382,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-888888",-999999,-999999
891,"Arroyo de las Carcavas",40.8419,-4.0314,1300,"terrestrial, small hollow",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-888888",7e-04,-999999
814,"Bruckmisse",48.7325,8.6442,670,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
815,"Brurskardtjorni",61.416667,8.666667,1309,"lacustrine",10,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",-999999,-999999
1134,"Crudale Meadow",59.01,-3.32,9,"terrestrial, bog",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.12,-999999
792,"Fenton Cottage",53.840005,-2.92842979,200,"terrestrial, mire",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-888888",-999999,-999999
463,"Kis-Mohos Ro",48.4,20.4,310,"terrestrial, bog",NA,"very small (less than 0.01 km2)","-777777","closed - no inflow or outflow",0.0036,NA
592,"Lago Lucone",45.55,10.4833,249,"lacustrine, drained lake",-888888,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",-999999,-999999
543,"Loch a'Bhogaidh",55.725,-6.403333,65,"terrestrial, mire",-888888,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.175,-999999
474,"Lough Mullaghlahan",54.775,-8.466944,40,"lacustrine",5.6,"very small (less than 0.01 km2)","-777777","in and out flow",0.005,-999999
550,"Migneint",52.82,-3.82,440,"terrestrial, mire",-888888,"medium (1.1-50 km2)","small (less than 10 km2)","closed - no inflow or outflow",1.2,-999999
595,"Piano",46.32,8.62,1439,"terrestrial, bog",NA,"very small (less than 0.01 km2)","small (less than 10 km2)","inflow only",0.002,NA
746,"Storasjo",56.93333,15.26667,225,"lacustrine",-999999,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.025,-999999
270,"Lilla Gloppsjon",59.802778,14.627778,198,"lacustrine",27,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.05,6.5
547,"Long Breach",51.06587,-3.6874017,341,"terrestrial, mire",-888888,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",-999999,-999999
1187,"Sudenpesä Hollow",61.1833,25.15,167,"terrestrial, small hollow",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-888888",0.001,-999999
818,"Etang de la Gruere",47.2406,7.05,1005,"terrestrial, bog",NA,"small (0.01-1 km2)","small (less than 10 km2)","-888888",0.225,NA
1180,"Rentukka Hollow",61.1923,25.1526,150,"terrestrial, small hollow",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-999999",0.001,-999999
475,"Lough Nabraddan",55.0167,-8.35,20,"lacustrine",5.6,"very small (less than 0.01 km2)","-777777","in and out flow",0.006,-999999
1168,"Mogielica",49.6659056,20.2799058333333,845,"terrestrial, buried fen",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","outflow only",0.00028,-999999
476,"Altar Lough",55.0167,-8.4,30,"lacustrine",2.5,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",0.012,-999999
1128,"Bialowieza forest Site 2",52.7519,23.8789,165,"terrestrial, small hollow",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-888888",1e-05,-999999
816,"Dalmutladdo",69.166667,20.716667,355,"lacustrine",4,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",0.072,-999999
1214,"Gazwa",53.8725,21.2197222222222,155,"terrestrial, bog",-888888,"medium (1.1-50 km2)","-999999","closed - no inflow or outflow",2.05,-999999
1216,"Gleboczek",53.868066,18.209629,110,"terrestrial, bog",-888888,"very small (less than 0.01 km2)","-999999","in and out flow",0.001,-999999
1218,"Jaczno",54.276971,22.876204,164,"terrestrial, bog",-888888,"very small (less than 0.01 km2)","-999999","closed - no inflow or outflow",0.013,-999999
1219,"Kazanie fen",52.458694,17.296352,101,"terrestrial, mire",-888888,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.03,-999999
1221,"Linje",53.187352,18.309571,90,"terrestrial, bog",-888888,"small (0.01-1 km2)","-999999","closed - no inflow or outflow",0.0595,-999999
1223,"Mechacz Wielki",54.331974,22.441504,200,"terrestrial, bog",-888888,"medium (1.1-50 km2)","-999999","closed - no inflow or outflow",1.47,-999999
545,"Sidlings Copse",51.782709,-1.193905,53,"terrestrial, fen",-888888,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",-999999,-999999
207,"Black Loch",56,-3,90,"lacustrine",3,"small (0.01-1 km2)","small (less than 10 km2)","-999999",0.015,1.423
1241,"Apsuciems Mire",57.0536417,23.3170305,6.6,"terrestrial, fen",-888888,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",0.15,1.2
1242,"Bagno Kusowo",53.8077778,16.5872222222222,155,"terrestrial, bog",-888888,"medium (1.1-50 km2)","medium (10.1-500 km2)","closed - no inflow or outflow",3.19,-999999
1243,"Odersprungmoor",51.7713889,10.5677777777777,811,"terrestrial, fen",-888888,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",-999999,-999999
1244,"Araisu lake",57.250912,25.289886,120.2,"lacustrine",12.3,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.326,-999999
1246,"Gorenje jezero",45.74,14.4083,550,"terrestrial, mire",0.1,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.1,-999999
1248,"Lake Lielais Svetinu",56.760682,27.149276,96.2,"lacustrine",4,"small (0.01-1 km2)","medium (10.1-500 km2)","in and out flow",0.188,19.7
450,"Mlaka",45.5,15.1219,150,"terrestrial, marsh",0.1,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.07,-999999
1249,"Naava hollow",61.241389,25.056111,156,"terrestrial, small hollow",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-888888",3e-04,1e-04
1250,"Noricka graba",46.62,16.0075,240,"terrestrial, marsh",-888888,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.001,-999999
599,"Prapoce",45.42,14.1223,480,"terrestrial, marsh",-888888,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.28,-999999
1252,"Teici bog",56.622408,26.440808,114,"terrestrial, bog",-888888,"large (50.1-500 km2)","large (more than 500 km2)","-888888",144,-999999
1253,"Bricu lake",57.115374,25.870619,208.4,"lacustrine",2.7,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.16,8
1129,"Bogdanowka-Belo",49.7542,19.79435,675,"terrestrial, buried fen",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-888888",0.003,4
1255,"Buhaiescu Mare",47.57,23.64333333,1918,"lacustrine, glacial origin",0.5,"very small (less than 0.01 km2)","small (less than 10 km2)","in and out flow",0.009,0.16
817,"Durchenbergried",47.783333,8.983333,432,"terrestrial, bog",0,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.0225,-999999
1256,"Griblje",45.5675,15.2819,160,"terrestrial, marsh",0.01,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.008,-999999
1257,"Kammekka hollow",61.2425,25.055278,156,"terrestrial, small hollow",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-888888",1e-06,1e-04
1258,"Lilaste lake",57.179,24.351639,0.5,"coastal",2,"medium (1.1-50 km2)","medium (10.1-500 km2)","in and out flow",1.8,-999999
1259,"Na mahu",45.97,14.5389,290,"lacustrine, drained lake",-888888,"large (50.1-500 km2)","large (more than 500 km2)","in and out flow",160,-999999
1260,"Trikatas lake",57.54116,25.714468,50,"lacustrine",4,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.13,-999999
1261,"Arroyo de Valdeconejos",40.8622,-4.0597,1380,"terrestrial, mire",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-888888",0.00126,-999999
1263,"Campo Lameiro",42.5333,-8.5167,295,"terrestrial",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-888888",-999999,-999999
1265,"El Brezosa",39.3491,-4.3611,733,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","inflow only",0.106,-999999
1266,"El Perro mire",39.0513,-4.7596,690,"terrestrial, mire",-888888,"medium (1.1-50 km2)","medium (10.1-500 km2)","closed - no inflow or outflow",3.3,-999999
871,"Puerto de Serranillos",40.3072,-4.9342,1700,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-999999",0.024,-999999
1267,"Las Vinuelas",39.3744,-4.4884,761,"terrestrial, bog",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","closed - no inflow or outflow",2e-04,-999999
1270,"Canada del Gitano Sierra de Baza",37.2333,-2.7,1900,"terrestrial, bog",-888888,"medium (1.1-50 km2)","medium (10.1-500 km2)","-888888",2,-999999
1276,"Bermu Mire",39.4341,-4.146,783,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-888888",5e-04,-999999
1278,"Verdeospesoa",43.055,-2.8614,1015,"terrestrial, bog",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-888888",0.000516,-999999
1279,"El Redondo",40.2214,-5.6569,1765,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.00125,-999999
1280,"Vapsko-2",42.07,23.5245,2120,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.002,-999999
1282,"Pozo de la Nieve",40.3532,-4.5516,1600,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-999999",0.0381,-999999
1284,"Lake Oltina",44.14,27.6308,40,"lacustrine, fluvial origin",2,"medium (1.1-50 km2)","large (more than 500 km2)","inflow only",33,-999999
1285,"Navamuno",40.3213,-5.7786,1505,"terrestrial, bog",-888888,"small (0.01-1 km2)","medium (10.1-500 km2)","-999999",0.14,-999999
1286,"Las Animas Mire",36.6858,-5.03,1403,"terrestrial, bog",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-888888",2e-04,-999999
